brand,model_full,year,km,fuel,gearbox,price
MERCEDES,MERCEDES CLASSE E 5,2020.0,28509.0, Diesel, automatique,52870.0
AUDI,AUDI Q7 (2E GENERATION),2019.0,106560.0, Diesel, automatique,52140.0
JAGUAR,JAGUAR E-PACE,2020.0,54233.0, Diesel, automatique,47790.0
SUZUKI,SUZUKI SWIFT 4,2018.0,48343.0, Essence, mécanique,15990.0
BMW,BMW SERIE 5 G31 TOURING,2018.0,22723.0, Diesel, automatique,45920.0
CITROEN,CITROEN C4 (3E GENERATION),2022.0,13806.0, Essence, automatique,28290.0
JEEP,JEEP WRANGLER 3,2016.0,96432.0, Diesel, automatique,49150.0
MERCEDES,MERCEDES SL 2,2005.0,48506.0, Essence, automatique,24360.0
VOLKSWAGEN,VOLKSWAGEN GOLF 7 R,2015.0,111305.0, Essence, automatique,29940.0
MAZDA,MAZDA MX5 (4E GENERATION) RF,2018.0,37235.0, Essence, mécanique,26630.0
BMW,BMW SERIE 2 F45 ACTIVE TOURER,2018.0,138360.0, Diesel, mécanique,18580.0
PORSCHE,PORSCHE MACAN,2019.0,51802.0, Essence, automatique,83660.0
TOYOTA,TOYOTA RAV 4 (5E GENERATION),2022.0,10726.0, Hybride essence électrique, automatique,51460.0
VOLKSWAGEN,VOLKSWAGEN CADDY 4 FOURGON,2018.0,53723.0, Essence, automatique,24340.0
MERCEDES,MERCEDES CLASSE C 4 SW,2017.0,126500.0, Diesel, automatique,26290.0
RENAULT,RENAULT CAPTUR,2016.0,143376.0, Diesel, mécanique,10450.0
BMW,BMW SERIE 4 F36 GRAN COUPE,2021.0,20384.0, Diesel, automatique,37780.0
CITROEN,CITROEN C4 (3E GENERATION),2022.0,1.0, Diesel, automatique,31880.0
PEUGEOT,PEUGEOT 2008,2020.0,30434.0, Essence, automatique,20680.0
CITROEN,CITROEN C4 PICASSO 2,2015.0,183372.0, Diesel, mécanique,8620.0
RENAULT,RENAULT CAPTUR 2,2022.0,11.0, Essence, mécanique,21610.0
MERCEDES,MERCEDES CLASSE C 2 AMG,2005.0,220898.0, Essence, automatique,18080.0
FIAT,FIAT 500 X,2020.0,24270.0, Essence, mécanique,19050.0
RENAULT,RENAULT CLIO 5,2022.0,12.0, Essence, mécanique,22370.0
NISSAN,NISSAN PULSAR,2018.0,46000.0, Essence, mécanique,13220.0
AUDI,AUDI A1 (2E GENERATION) SPORTBACK,2021.0,18910.0, Essence, automatique,32590.0
LAND,LAND ROVER FREELANDER 2,2012.0,195976.0, Diesel, mécanique,15840.0
JAGUAR,JAGUAR XJS CABRIOLET,1990.0,73763.0, Essence, automatique,35720.0
CITROEN,CITROEN C5 AIRCROSS,2021.0,29363.0, Diesel, automatique,29640.0
RENAULT,RENAULT CLIO 5,2022.0,105.0, Essence, automatique,20560.0
OPEL,OPEL CROSSLAND X,2021.0,5368.0, Essence, mécanique,20850.0
